"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.99715807727807e-12,0.448058582374176,0.98,0.859,6.13368400514958e-08,"3","SRSF9"
0.000157446746107182,0.447540326763768,0.256,0.14,1,"3","TMCO3"
5.39216700623513e-07,0.447415215854448,0.538,0.309,0.0110350697782602,"3","MPHOSPH6"
7.76892543630225e-08,0.446724796786189,0.467,0.243,0.00158991059053926,"3","OBI1"
1.16574907245148e-05,0.446671055048305,0.387,0.215,0.238570547677196,"3","SLC12A9"
8.77036021584843e-09,0.446296991001871,0.93,0.712,0.000179485421817338,"3","RNASEH2B"
7.8381745538536e-14,0.446235256102788,0.98,0.861,1.60408242244614e-09,"3","SEM1"
3.28827705065038e-08,0.445416619866677,0.769,0.527,0.0006729458984156,"3","MTFP1"
3.1929100896555e-06,0.445414040562907,0.462,0.267,0.0653429049847998,"3","TIFA"
7.97048866907346e-08,0.445346928217814,0.819,0.577,0.00163116050612588,"3","TMX1"
1.32997057811224e-09,0.445130785287803,0.95,0.739,2.7217847881067e-05,"3","TUBA4A"
7.3257633081969e-06,0.445035304540705,0.472,0.277,0.14992174610225,"3","WRAP73"
0,0.444020556038888,0.99,0.926,0,"3","COX7A2"
5.03034779875122e-06,0.443627612569633,0.482,0.281,0.102946067701444,"3","PMM2"
1.09472805709387e-07,0.443405260574413,0.698,0.423,0.00224036096884261,"3","MRPL47"
8.0171885055158e-06,0.442946981794092,0.322,0.166,0.164071762765381,"3","TMEM218"
2.484989991558e-11,0.44256513065763,0.965,0.774,5.08553201772344e-07,"3","RPN2"
3.18883717274066e-05,0.442321061913216,0.251,0.128,0.652595527401375,"3","MAPK13"
5.35534343981681e-07,0.442264516752151,0.487,0.275,0.0109597103495851,"3","CBX6"
1.69396839622138e-06,0.441678581229507,0.533,0.314,0.0346670632286705,"3","USP5"
8.806084306201e-09,0.440048757731356,0.91,0.67,0.000180216515326403,"3","MRPS15"
2.60852650590948e-08,0.439809364395202,0.824,0.567,0.000533834949434375,"3","EIF4G1"
1.26565424807268e-14,0.439353719396539,0.995,0.901,2.59016141868074e-10,"3","NDUFA12"
7.89572851545017e-11,0.438459464376355,0.97,0.786,1.61586084068688e-06,"3","JTB"
5.52156845630147e-05,0.438003829221884,0.291,0.158,1,"3","MSANTD3"
8.73064286954772e-06,0.437984719993696,0.327,0.173,0.178672606325294,"3","RAD51D"
2.34133379350965e-09,0.437550898693661,0.965,0.799,4.79153960841749e-05,"3","MDH2"
8.80218120613563e-11,0.437312458797272,0.558,0.27,1.80136638383566e-06,"3","IMMP1L"
3.7936288221907e-07,0.437214193404463,0.432,0.224,0.00776366138461326,"3","ALG1"
1.28196758542032e-07,0.435815414516976,0.799,0.521,0.00262354666356268,"3","ATOX1"
3.90923461890402e-06,0.43514024941717,0.879,0.677,0.0800024864758708,"3","DCTN3"
3.13186671174748e-06,0.434977365142615,0.523,0.319,0.0640936522559121,"3","CASP2"
4.60166730942291e-07,0.434943212623017,0.392,0.202,0.00941731214873398,"3","RRP1"
5.03627916481619e-07,0.434925581084297,0.638,0.394,0.0103067453107963,"3","ITGAE"
3.0956010377281e-07,0.434821531188695,0.653,0.406,0.00633514752371056,"3","PHF6"
1.01529243901055e-07,0.434349937869299,0.864,0.636,0.00207779597643509,"3","PUF60"
0.000104074872962379,0.434023922918765,0.432,0.278,1,"3","MT1E"
1.82088456091023e-07,0.433886412494851,0.673,0.427,0.00372644025390279,"3","FXN"
2.69288494925135e-06,0.433437775743776,0.472,0.267,0.0551098904864289,"3","APTX"
1.10318716251001e-06,0.432581461519685,0.633,0.39,0.0225767252807674,"3","MTHFS"
0.000243947384491738,0.432418623859484,0.251,0.139,1,"3","AGMAT"
3.25625055457301e-05,0.431723877098504,0.638,0.417,0.666391675993367,"3","ERG28"
6.53090088809094e-05,0.431296524197074,0.302,0.169,1,"3","CC2D1A"
3.02215854119936e-07,0.431212764708993,0.744,0.469,0.00618484745456449,"3","NAA20"
1.28494992424066e-11,0.431206322786861,0.985,0.856,2.62965001995852e-07,"3","P4HB"
1.52120318119842e-07,0.430993852331261,0.698,0.461,0.00311314231032256,"3","RIF1"
2.0660251287552e-10,0.430970042295469,0.975,0.805,4.22812042599752e-06,"3","FBL"
1.3944401189292e-13,0.430527785977874,0.452,0.183,2.8537217033886e-09,"3","KIF11"
6.72256573075458e-07,0.430487604831129,0.633,0.369,0.0137577307679893,"3","MALSU1"
1.15617639906418e-08,0.430379683555302,0.94,0.732,0.000236611500068484,"3","TBCB"
1.97619698383278e-14,0.430075484017002,1,0.958,4.04428712741378e-10,"3","PPIB"
2.16107896477968e-05,0.429433029341464,0.251,0.128,0.442264810142162,"3","C1orf112"
5.69406193307032e-08,0.42938394328377,0.688,0.411,0.00116528977460284,"3","UTP18"
3.32200711383734e-10,0.429069039133924,0.814,0.495,6.79848755846812e-06,"3","MTHFD2"
1.51130800851718e-06,0.428491688804701,0.437,0.236,0.030928918394304,"3","DNAJA3"
4.51401062617762e-06,0.428454739553133,0.618,0.396,0.092379227464725,"3","TAF1B"
1.81623419792665e-05,0.428447148870877,0.281,0.147,0.371692328605688,"3","ZNF100"
2.49398346863217e-07,0.42831553322643,0.608,0.35,0.00510393716855573,"3","MRPS2"
3.82283900468572e-06,0.428205388896525,0.492,0.288,0.0782344002308932,"3","HDDC3"
1.02353159281421e-08,0.427747564020363,0.774,0.485,0.000209465740469428,"3","ELAVL1"
1.59264468124753e-06,0.427519682854202,0.503,0.281,0.0325934734017308,"3","FTSJ3"
3.35244427374093e-06,0.427384734137483,0.452,0.257,0.0686077720621081,"3","RPUSD1"
9.32091105454447e-06,0.42720455168873,0.367,0.205,0.190752444731253,"3","DOHH"
0.000141649973271152,0.426912498485846,0.251,0.136,1,"3","APLP2"
5.02543646696552e-08,0.426745248932065,0.844,0.61,0.00102845557296449,"3","MPC2"
8.6995937120804e-09,0.426200977261416,0.894,0.682,0.000178037185317725,"3","UQCRC1"
6.94279966850786e-09,0.425686779990715,0.864,0.602,0.000142084395216013,"3","CIAO2A"
1.56932219752548e-06,0.424201506823837,0.568,0.336,0.032116178772359,"3","CTSZ"
9.54791801177635e-15,0.423993712559373,1,0.939,1.95398142111003e-10,"3","GNAI2"
4.72867645462394e-06,0.423825861042605,0.94,0.797,0.0967723636438789,"3","RAD21"
6.40210898983362e-06,0.423766460426022,0.492,0.29,0.131019160476945,"3","C1GALT1C1"
8.18457662825622e-05,0.423671783723762,0.407,0.251,1,"3","TNFSF14"
7.49921298393019e-08,0.423328234645758,0.558,0.314,0.00153471393716131,"3","CEP78"
3.7965961485753e-09,0.42324149080191,0.995,0.919,7.76973401805936e-05,"3","CD99"
3.42460884206197e-06,0.422978759974245,0.588,0.367,0.0700846199527982,"3","PDHA1"
7.42215844340421e-10,0.422027654811761,0.92,0.669,1.51894472544267e-05,"3","ARPC5L"
2.87612413885086e-07,0.421924558663692,0.467,0.245,0.00588598805015828,"3","IDH3A"
8.2273047574688e-07,0.421556376620621,0.492,0.272,0.0168371791861599,"3","AARS"
0,0.421325496260332,1,0.991,0,"3","CORO1A"
3.53078634773851e-07,0.421247805499956,0.578,0.324,0.00722575426064687,"3","CXXC1"
8.2154478020513e-07,0.420768581500912,0.688,0.465,0.016812913926898,"3","DPY30"
2.85811487366061e-07,0.420656057961671,0.437,0.225,0.00584913208894644,"3","TAX1BP3"
0.000265437205139829,0.420556630134033,0.271,0.154,1,"3","THG1L"
3.48465799793196e-06,0.419843307615746,0.513,0.299,0.0713135259276776,"3","PDE4A"
1.27167078411983e-05,0.419707650637767,0.462,0.271,0.260247425970123,"3","ELAC2"
2.0667540938657e-06,0.41942586030101,0.523,0.305,0.0422961225309615,"3","LRRC58"
8.68851848556673e-06,0.419327038801481,0.317,0.165,0.177810530807123,"3","ABHD5"
6.81815386593954e-07,0.419049774917133,0.633,0.379,0.0139533518866453,"3","DANCR"
2.59152986663569e-05,0.418450540535465,0.462,0.275,0.530356587206994,"3","RBM15B"
1.41060173852736e-06,0.41838775661602,0.814,0.582,0.0288679645789625,"3","EMC4"
1.2956268421016e-05,0.4180911936304,0.382,0.211,0.265150033236093,"3","PCK2"
1.63735293434719e-06,0.41771986150315,0.503,0.288,0.0335084278014153,"3","AIFM1"
8.32251230820091e-07,0.417600741001255,0.709,0.466,0.0170320214387332,"3","CDKN2A"
1.02260422352174e-11,0.417520452674625,0.955,0.81,2.09275954343724e-07,"3","HNRNPA0"
1.13131546712886e-05,0.417259709415205,0.658,0.437,0.231523710347921,"3","GTF2H5"
4.78664907710424e-09,0.417121530836019,0.342,0.15,9.79587733629383e-05,"3","GEN1"
7.0565775445175e-13,0.417016676384167,0.452,0.185,1.44412859448551e-08,"3","PRC1"
3.45345666930008e-06,0.416988684245244,0.819,0.615,0.0706749907372262,"3","FIBP"
4.44459602588765e-06,0.416864275019263,0.402,0.218,0.0909586576697907,"3","DIS3L"
2.44249065417534e-15,0.416796540978546,1,0.979,4.99855712376984e-11,"3","HSPA8"
1.07349757292319e-05,0.416471038054359,0.437,0.247,0.21969127829873,"3","TARBP2"
1.13760843345467e-06,0.416365837961108,0.427,0.228,0.0232811565906499,"3","TRUB2"
1.15020410973443e-08,0.416345849725483,0.603,0.326,0.000235389271057151,"3","GNL2"
6.30713703642094e-06,0.41617374055869,0.402,0.223,0.129075559450355,"3","RPF2"
1.75324765594453e-07,0.416169923178093,0.678,0.411,0.00358802132789049,"3","RTCB"
9.27905406955531e-07,0.416001340599354,0.417,0.221,0.018989584153345,"3","PERP"
