p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.432269186798521,0.857,0.205,0,4,E2F1
0,2.4220064894957813,0.929,0.237,0,4,MCM4
0,2.3897782245527983,0.897,0.186,0,4,CDT1
0,2.3882774854250286,0.716,0.157,0,4,UHRF1
0,2.301631171809264,0.929,0.295,0,4,MCM6
0,2.3011670942981213,0.637,0.117,0,4,CDC45
0,2.296200621321896,0.769,0.158,0,4,CHEK1
0,2.2843017103666394,0.976,0.337,0,4,MCM7
0,2.2572513390211375,0.254,0.044,0,4,ANKRD9
0,2.218319095268014,0.863,0.221,0,4,FEN1
0,2.186783124524597,0.516,0.097,0,4,SLC29A1
0,2.184267033510173,0.643,0.124,0,4,CDC6
0,2.1761031576633343,0.556,0.109,0,4,ORC6
0,2.174874856833059,0.559,0.106,0,4,FAM111B
0,2.153835502062756,0.636,0.138,0,4,TCF19
0,2.113707539659348,0.403,0.077,0,4,IMPA2
0,2.1120132787957644,0.526,0.103,0,4,MCM10
0,2.1107142595704724,0.708,0.147,0,4,DTL
0,2.7154406452099327,0.799,0.144,0,5,CD4
0,2.529510027403234,0.465,0.096,0,5,CYSLTR1
0,2.469683641743961,0.472,0.112,0,5,GPR183
0,2.118796902046631,0.345,0.083,0,5,TSHZ2
0,2.0520478501910677,0.414,0.104,0,5,VEGFA
0,2.029358775141259,0.42,0.141,0,5,ACTN1
0,1.9918985000765883,0.782,0.24,0,5,MIR210HG
0,1.9628687610506308,0.279,0.075,0,5,FGF11
0,1.951865025239766,0.718,0.298,0,5,TSC22D3
0,1.9276824269072017,0.394,0.125,0,5,AC097534.2
0,1.890826852220349,0.321,0.126,0,5,HILPDA
0,1.8203056337362122,0.895,0.479,0,5,BNIP3
0,1.7271058858801198,0.998,0.89,0,5,GPI
0,1.725149661742864,0.398,0.144,0,5,IGFBP2
0,1.7081447721176442,0.325,0.11,0,5,PDE7B
0,1.695463584873757,0.402,0.126,0,5,FAM13A
0,1.6904670733662273,0.941,0.692,0,5,CORO1B
0,1.6784264544617,0.44,0.175,0,5,ANKRD37
0,1.6376520945916089,0.27,0.101,0,5,GPR146
0,1.625284887003235,0.401,0.134,0,5,PFKFB4
0,1.582091061207389,0.619,0.195,0,5,CD40LG
0,1.5403803406057848,0.983,0.644,0,5,BNIP3L
0,1.5397011193672037,0.354,0.14,0,5,HK2
0,1.5151504339486068,0.925,0.477,0,5,P4HA1
0,1.5130628647887499,0.434,0.176,0,5,FAM153CP
0,5.187826776695922,0.323,0.025,0,6,TRGV9
0,4.75604518113795,0.375,0.021,0,6,PLEK
0,4.672087200871771,0.361,0.032,0,6,GZMH
0,4.464585865256881,0.459,0.036,0,6,KLRD1
0,4.308822867775302,0.345,0.029,0,6,TRDC
0,4.308291163247444,0.379,0.039,0,6,TRGC1
0,3.7634227237217415,0.4,0.08,0,6,GZMK
0,3.7323566505986454,0.676,0.229,0,6,GNLY
0,3.621512644555843,0.504,0.075,0,6,TRGC2
0,3.4395429518629017,0.294,0.07,0,6,KLRB1
0,3.4317253406612176,0.44,0.047,0,6,CCL4
0,3.1803969198312454,0.374,0.057,0,6,TIGIT
0,3.0657926159575264,0.913,0.442,0,6,CST7
0,2.9828367685330908,0.431,0.125,0,6,KLRG1
0,2.943048298632481,0.328,0.092,0,6,KLRC2
0,2.827277002874533,0.917,0.63,0,6,NKG7
0,2.8121722794643977,0.255,0.06,0,6,EOMES
0,2.7390867704663684,0.458,0.144,0,6,HLA-DQA1
0,2.6730484459689876,0.415,0.101,0,6,F2R
0,2.650213498495572,0.331,0.093,0,6,HLA-DQA2
0,2.459487415931673,0.993,0.788,0,6,CCL5
0,2.4502871069894154,0.307,0.077,0,6,CD244
0,2.411995240267509,0.688,0.308,0,6,LYAR
0,2.305793431395164,0.269,0.108,0,6,RTKN2
0,2.2524078579368663,0.731,0.366,0,6,HLA-DRB5
